state_code,county_code,"CEC_(0,6]","CEC_(6,12]","CEC_(12,30]","CEC_(30,50]","CEC_(50,70]","CEC_(70,100]","PH_(0,6]","PH_(6,12]","PH_(12,30]","PH_(30,50]","PH_(50,70]","PH_(70,100]"
01,001,5.727948717948718,5.516666666666667,20.575,9.780000000000001,22.75,NA,5.136372857082209,5.2860487338748205,5.001054882640437,5.041069374632674,4.97258232548647,5.00625
01,003,3.9379999999999997,3.0100000000000002,5.857142857142858,55.17777777777778,8,30.9,4.995420105650649,5.061924105306458,4.940250478865734,4.855037746132936,4.920635735188091,4.96875
01,005,6.354147812971342,25,16.190196078431374,13.083333333333332,21.26,3.7,5.158477585152498,5.00718954248366,4.987270316837465,5.0868258178603005,5.1588872383970426,5
01,007,5.536363636363636,38.2,11.25,NA,15.7,NA,5.115457226168381,5.118518518518519,4.95444430588274,4.864578371245757,4.835354697396843,4.933333333333334
01,009,13.365070921500248,22.1,18.435000000000002,15.700000000000001,11.7,4,5.2231390985818456,5.2176470588235295,4.972724016252426,4.957989047451257,5.282660164316972,5.9
01,011,23.462713675213674,24.3,33.97428571428571,36.37111111111111,19.426061120543295,NA,5.451023841561845,4.951002506265664,5.328589638050086,5.290677805778607,5.658678845816548,4.8
01,013,12.8988011988012,21.825,13.891441499676795,18.45516866854076,16.9,3.7,5.321135698665344,5.114550264550265,5.223450503459543,5.206297956573964,4.949667509774854,4.75
01,015,12.332141761625067,NA,17.176262053318208,10.911111111111111,14.504347826086958,NA,5.208686389206967,5.076838235294118,5.1834024314206895,5.110198053904971,5.169073548254942,5
01,017,8.118964859675426,7.666666666666666,11.532827954154792,7.023076923076923,7.899388830175076,14.3,5.491803130580724,5.2272727272727275,5.4782358624509095,5.247916666666667,5.464418961372271,5.166666666666667
01,019,14.53206691919192,NA,17.494975544686525,11.149999999999999,12.077136363636361,NA,5.143768952396642,4.962282980177717,4.973169871279606,4.9994792879534256,5.2205776586195825,4.65
01,021,9.50967762780762,15.7,15.509700722394221,6.86,8.809302325581395,NA,5.011225405541424,5.35,5.025134663009125,4.909812210171027,5.074780105146353,5
01,023,22.51576797385621,NA,14.222385620915032,13,18.369230769230768,15.466666666666665,5.0937809548312885,4.942486772486772,5.069234093209751,5.142515554008431,5.233284932750825,6.078014184397163
01,025,22.992929864253394,18.821678321678323,25.41111111111111,14.061904761904762,13.47000466853408,NA,5.097001316650926,5.133693264160881,5.035909193151149,5.058150680698044,5.174799278101003,5.066666666666666
01,027,9.441291851311824,NA,18.88173076923077,10.225,14.307142857142857,NA,5.334653466697888,4.62,5.212905695873764,4.968034638554217,5.486044754604215,NA
01,029,14.428829944214208,NA,15.250816353187043,10.461764705882352,9.587686567164178,NA,5.244035676278038,5.05,5.169245360528933,5.338655462184874,5.512075370311078,NA
01,031,2.9,NA,3.6,NA,NA,NA,5.171451111125198,5.02,5.085165233317407,4.990826446280992,5.018147448015123,5.05
01,033,9.766075989782886,16.766666666666666,14.6,22.8416,14.86,NA,5.241841856379857,5.3999999999999995,5.003216249841998,5.14219290687055,5.096360586310261,NA
01,035,15.766666666666667,14.6,33.266666666666666,19.966666666666665,NA,NA,5.199579980533327,5.214310708465152,4.823317768331234,5.300626797393971,4.93169706937799,5
01,037,7.446428571428571,10.529166666666667,13.723756613756613,10.98800983436853,7.759719416386083,NA,5.268767418543696,5.129715601152742,5.20324585117994,5.215899091321109,5.237070220473926,5
01,039,13.688888888888888,1.7,1.5,11,NA,NA,5.2677417308758985,4.961538461538462,5.136541412228721,5.240604504586924,5.082277838290741,5
01,041,8.99764705882353,12.033333333333333,14.88986568986569,18.523529411764706,13.18,32.5,5.199149791997024,5.16875,5.1020477279718595,5.0130846984779565,5.125390189906119,5.7
01,043,7.866666666666666,NA,18.02,NA,12.375,NA,5.0430182885199235,5.22683752417795,4.89613472007217,4.942813813103246,5.13415559772296,5
